brand,processor,ram_gb,storage,gpu,screen_size_inch,resolution,battery_life_hours,weight_kg,operating_system,price_usd
Asus,AMD Ryzen 7,32,1TBSSD,AMD Radeon RX 6600,13.3,3840x2160,4.1,1.32,Macos,3249.72
Razer,AMD Ryzen 5,4,256GBSSD,Nvidia RTX 3060,17.3,3840x2160,7.8,2.15,Freedos,2302.85
MSI,AMD Ryzen 5,8,256GBSSD,AMD Radeon RX 6800,15.6,2560x1440,5.9,2.52,Freedos,1835.42
Asus,Intel i3,32,1TBSSD,Nvidia RTX 3080,17.3,1366x768,8.3,2.19,Linux,1226.64
Lenovo,AMD Ryzen 9,64,256GBSSD,Integrated,17.3,1920x1080,5.3,2.52,Linux,2760.14
Acer,AMD Ryzen 9,16,256GBSSD,Nvidia RTX 3080,16.0,3840x2160,4.7,2.99,Freedos,3760.37
Razer,AMD Ryzen 9,4,512GBSSD,Nvidia RTX 3080,16.0,1920x1080,11.1,1.28,Linux,2190.41
HP,AMD Ryzen 3,8,1TBSSD,AMD Radeon RX 6600,17.3,2560x1440,4.5,2.21,Windows,1113.58
Lenovo,AMD Ryzen 9,16,512GBSSD,Nvidia RTX 2060,16.0,2560x1440,4.1,1.69,Windows,2834.62
Acer,Intel i7,8,2TBSSD,AMD Radeon RX 6600,13.3,1920x1080,10.7,2.33,Macos,1406.63
Acer,Intel i7,16,512GBSSD,Nvidia GTX 1650,14.0,2560x1440,9.6,1.21,Freedos,1936.97
Acer,Intel i7,32,512GBSSD,Nvidia RTX 3080,14.0,1366x768,7.3,3.03,Windows,1728.86
Samsung,Intel i3,64,2TBSSD,Integrated,17.3,2560x1440,6.0,2.62,Linux,1871.86
MSI,Intel i9,32,1TBHDD,Nvidia RTX 3060,13.3,1920x1080,7.6,3.16,Linux,2992.66
Microsoft,AMD Ryzen 7,8,2TBSSD,Nvidia RTX 3080,15.6,2560x1440,8.7,3.14,Macos,1681.71
Apple,Intel i3,16,2TBSSD,Nvidia RTX 2060,13.3,3840x2160,11.7,2.69,Windows,2572.49
Microsoft,AMD Ryzen 3,64,512GBSSD,Nvidia RTX 3060,14.0,2560x1440,11.3,1.48,Macos,2354.19
Acer,Intel i5,16,512GBSSD,AMD Radeon RX 6600,14.0,3840x2160,4.7,1.56,Freedos,2038.31
Microsoft,Intel i3,4,2TBSSD,Nvidia RTX 2060,14.0,1366x768,4.7,3.22,Macos,685.76
Asus,AMD Ryzen 7,8,1TBSSD,Nvidia RTX 2060,14.0,2560x1440,5.8,1.56,Linux,1663.74
Razer,Intel i7,4,512GBSSD,AMD Radeon RX 6800,17.3,1920x1080,11.0,2.56,Freedos,1664.15
Samsung,Intel i7,16,1TBHDD,Nvidia RTX 2060,16.0,1366x768,9.4,2.1,Macos,1258.35
Dell,AMD Ryzen 5,4,1TBHDD,AMD Radeon RX 6600,14.0,1366x768,8.8,2.28,Freedos,542.93
HP,Intel i7,4,1TBSSD,Nvidia RTX 3060,16.0,1366x768,7.2,1.36,Macos,918.61
Asus,AMD Ryzen 7,8,512GBSSD,AMD Radeon RX 6600,13.3,3840x2160,7.7,1.59,Freedos,2104.79
MSI,Intel i5,8,2TBSSD,Nvidia GTX 1650,16.0,2560x1440,4.7,2.72,Freedos,1802.22
Microsoft,AMD Ryzen 9,8,2TBSSD,AMD Radeon RX 6800,13.3,2560x1440,5.1,3.42,Macos,2058.29
Asus,AMD Ryzen 3,4,1TBHDD,AMD Radeon RX 6600,14.0,1366x768,5.8,1.28,Macos,449.06
Dell,AMD Ryzen 5,64,1TBHDD,AMD Radeon RX 6600,17.3,1366x768,4.1,3.05,Windows,1956.95
Dell,Intel i5,32,2TBSSD,AMD Radeon RX 6800,15.6,2560x1440,8.5,1.86,Macos,2236.22
Asus,AMD Ryzen 3,4,1TBHDD,Nvidia RTX 3080,14.0,1366x768,6.4,1.3,Macos,466.44
Microsoft,AMD Ryzen 3,16,512GBSSD,AMD Radeon RX 6600,17.3,2560x1440,8.8,3.23,Macos,1350.34
Samsung,Intel i9,32,1TBSSD,AMD Radeon RX 6600,13.3,1920x1080,8.1,3.06,Freedos,2666.82
Microsoft,Intel i7,8,512GBSSD,AMD Radeon RX 6800,17.3,2560x1440,5.0,2.21,Macos,1700.37
MSI,AMD Ryzen 9,16,1TBHDD,Nvidia RTX 3080,16.0,1920x1080,10.1,3.46,Freedos,2275.95
Asus,AMD Ryzen 5,64,2TBSSD,Integrated,17.3,3840x2160,11.9,3.12,Freedos,2914.19
Asus,AMD Ryzen 5,64,256GBSSD,AMD Radeon RX 6600,17.3,3840x2160,8.1,1.5,Windows,4409.2
HP,AMD Ryzen 9,64,512GBSSD,Nvidia RTX 2060,13.3,1920x1080,12.0,2.62,Freedos,3880.27
Asus,AMD Ryzen 7,8,2TBSSD,Nvidia GTX 1650,15.6,2560x1440,8.2,2.47,Macos,1666.71
Apple,AMD Ryzen 9,16,2TBSSD,AMD Radeon RX 6800,14.0,1920x1080,4.2,3.05,Macos,3021.66
Microsoft,Intel i7,64,1TBHDD,Nvidia GTX 1650,17.3,1920x1080,5.7,2.99,Windows,2797.18
Dell,Intel i9,4,512GBSSD,Nvidia RTX 2060,15.6,1920x1080,6.1,2.81,Windows,1666.79
MSI,AMD Ryzen 3,16,256GBSSD,AMD Radeon RX 6800,14.0,2560x1440,4.0,3.4,Linux,1517.61
MSI,AMD Ryzen 9,8,512GBSSD,AMD Radeon RX 6600,13.3,2560x1440,8.7,2.84,Windows,2649.65
Razer,Intel i9,4,2TBSSD,Nvidia RTX 3060,15.6,1366x768,6.5,3.38,Windows,1963.86
HP,AMD Ryzen 3,8,1TBHDD,Nvidia RTX 3060,15.6,1920x1080,4.2,1.82,Macos,800.67
Microsoft,Intel i9,32,2TBSSD,Integrated,14.0,1920x1080,6.9,2.77,Linux,1664.32
Razer,AMD Ryzen 3,64,1TBHDD,AMD Radeon RX 6600,13.3,1366x768,5.4,1.4,Macos,2018.6
HP,AMD Ryzen 7,8,2TBSSD,Nvidia RTX 2060,16.0,3840x2160,5.6,2.0,Freedos,2319.14
Razer,AMD Ryzen 5,8,1TBSSD,Nvidia RTX 3080,17.3,3840x2160,4.9,2.09,Freedos,2509.38
MSI,Intel i7,4,1TBHDD,Nvidia GTX 1650,13.3,1920x1080,6.5,1.41,Freedos,1318.45
Asus,AMD Ryzen 5,8,1TBSSD,Nvidia RTX 3060,17.3,3840x2160,7.1,2.7,Freedos,1930.47
Lenovo,AMD Ryzen 9,32,1TBSSD,Nvidia RTX 3080,15.6,3840x2160,11.0,3.25,Macos,4924.53
Dell,AMD Ryzen 5,64,1TBSSD,AMD Radeon RX 6600,16.0,2560x1440,9.0,3.3,Linux,3244.94
Razer,Intel i3,4,256GBSSD,AMD Radeon RX 6800,14.0,1920x1080,6.2,3.49,Macos,1125.36
HP,AMD Ryzen 7,32,1TBHDD,Nvidia GTX 1650,13.3,3840x2160,8.8,1.45,Windows,2688.94
MSI,AMD Ryzen 7,64,1TBSSD,Nvidia RTX 2060,15.6,1920x1080,7.1,2.38,Windows,4182.96
HP,Intel i5,64,1TBSSD,Nvidia RTX 2060,16.0,1366x768,5.4,1.46,Linux,2281.12
Asus,AMD Ryzen 3,32,2TBSSD,Nvidia RTX 3080,14.0,3840x2160,9.7,2.16,Windows,2170.1
Razer,Intel i7,4,1TBHDD,Nvidia GTX 1650,15.6,3840x2160,11.8,3.05,Linux,2506.92
Samsung,Intel i5,4,512GBSSD,AMD Radeon RX 6800,16.0,1366x768,7.1,2.16,Windows,907.92
Asus,AMD Ryzen 5,64,2TBSSD,Nvidia RTX 2060,17.3,2560x1440,7.5,1.41,Macos,3257.9
MSI,AMD Ryzen 9,32,512GBSSD,Nvidia RTX 3080,15.6,2560x1440,10.3,2.81,Freedos,4703.14
Asus,Intel i9,32,1TBHDD,Integrated,14.0,1366x768,6.9,1.65,Linux,1381.01
HP,Intel i3,16,1TBSSD,AMD Radeon RX 6800,17.3,1366x768,6.2,2.49,Macos,1046.59
Acer,AMD Ryzen 5,4,512GBSSD,Nvidia RTX 3060,17.3,1920x1080,6.6,1.67,Freedos,877.61
Dell,AMD Ryzen 5,8,512GBSSD,Nvidia RTX 3080,17.3,1920x1080,8.4,1.55,Macos,993.16
Lenovo,AMD Ryzen 3,32,1TBSSD,Nvidia RTX 3060,14.0,2560x1440,9.9,2.31,Windows,1735.19
HP,AMD Ryzen 3,16,1TBSSD,AMD Radeon RX 6600,14.0,1920x1080,8.0,1.48,Linux,1088.2
Samsung,AMD Ryzen 7,16,512GBSSD,Nvidia RTX 3080,17.3,2560x1440,7.2,2.86,Windows,2061.1
Microsoft,Intel i7,8,2TBSSD,AMD Radeon RX 6600,14.0,1920x1080,6.2,2.88,Windows,1344.06
Razer,AMD Ryzen 7,64,1TBSSD,Nvidia RTX 3060,17.3,3840x2160,11.4,1.24,Macos,7677.03
Samsung,Intel i5,4,256GBSSD,AMD Radeon RX 6800,15.6,1920x1080,10.5,2.32,Freedos,1053.77
Razer,Intel i3,4,256GBSSD,AMD Radeon RX 6800,16.0,1920x1080,9.9,1.61,Freedos,1212.16
MSI,Intel i3,4,1TBSSD,Nvidia RTX 2060,13.3,1920x1080,11.9,2.46,Linux,1003.93
Dell,Intel i7,8,1TBSSD,Nvidia RTX 3080,15.6,3840x2160,4.2,3.45,Windows,2208.03
Dell,Intel i3,4,1TBHDD,Nvidia RTX 3080,15.6,1920x1080,11.1,1.71,Freedos,739.38
HP,Intel i3,32,512GBSSD,Nvidia RTX 2060,17.3,1366x768,9.8,1.24,Windows,1144.14
Samsung,Intel i9,32,1TBHDD,Nvidia RTX 3060,13.3,3840x2160,11.7,2.04,Linux,3639.68
Asus,AMD Ryzen 9,32,1TBHDD,Nvidia RTX 3060,14.0,3840x2160,11.7,2.33,Freedos,3501.66
Microsoft,Intel i5,32,256GBSSD,AMD Radeon RX 6600,13.3,3840x2160,4.6,1.22,Windows,2493.61
Dell,AMD Ryzen 5,8,2TBSSD,AMD Radeon RX 6600,13.3,2560x1440,8.9,1.49,Linux,1289.09
Razer,Intel i3,32,1TBHDD,Nvidia RTX 3060,15.6,1366x768,10.3,1.29,Windows,1287.11
Razer,Intel i7,4,512GBSSD,Nvidia RTX 3080,17.3,2560x1440,7.2,2.44,Linux,2135.87
Apple,AMD Ryzen 9,32,1TBSSD,AMD Radeon RX 6800,14.0,1366x768,5.3,1.62,Freedos,3297.66
Microsoft,Intel i7,64,1TBSSD,AMD Radeon RX 6600,15.6,1366x768,11.5,3.21,Macos,2591.14
Samsung,Intel i9,8,2TBSSD,AMD Radeon RX 6800,16.0,1920x1080,4.7,2.1,Freedos,1767.17
Apple,AMD Ryzen 9,16,256GBSSD,Nvidia RTX 2060,16.0,2560x1440,6.0,2.37,Linux,4095.54
HP,AMD Ryzen 7,16,2TBSSD,Nvidia RTX 2060,16.0,1920x1080,5.3,1.91,Linux,1600.64
Samsung,AMD Ryzen 9,8,1TBHDD,Nvidia GTX 1650,13.3,3840x2160,6.6,3.16,Macos,2392.75
Asus,Intel i5,8,2TBSSD,AMD Radeon RX 6800,13.3,3840x2160,6.4,2.54,Windows,1530.29
Lenovo,AMD Ryzen 5,4,512GBSSD,Nvidia RTX 3060,13.3,1920x1080,7.2,2.24,Macos,996.57
Asus,Intel i3,8,1TBHDD,AMD Radeon RX 6600,15.6,1920x1080,5.8,3.19,Freedos,812.76
Asus,Intel i9,64,2TBSSD,AMD Radeon RX 6800,16.0,1920x1080,9.1,2.99,Freedos,4179.47
MSI,Intel i9,64,1TBSSD,Nvidia RTX 3060,17.3,2560x1440,10.7,2.34,Freedos,7107.37
Acer,Intel i3,64,1TBHDD,Nvidia RTX 2060,16.0,1366x768,9.5,2.37,Macos,1457.15
Asus,Intel i3,64,2TBSSD,AMD Radeon RX 6800,17.3,1366x768,5.5,1.45,Linux,1931.94
MSI,Intel i3,16,1TBHDD,Nvidia GTX 1650,16.0,3840x2160,10.2,1.87,Windows,1890.86
Microsoft,Intel i5,32,256GBSSD,Nvidia RTX 3060,17.3,2560x1440,9.5,2.76,Macos,2126.07
MSI,Intel i7,64,1TBSSD,AMD Radeon RX 6600,14.0,1366x768,5.4,1.55,Windows,3324.94
Samsung,Intel i9,8,2TBSSD,Nvidia RTX 3080,15.6,1366x768,11.3,1.5,Freedos,1630.82
Apple,Intel i5,16,1TBSSD,Nvidia RTX 3080,17.3,1920x1080,6.5,1.54,Windows,2020.33
MSI,Intel i7,16,1TBSSD,AMD Radeon RX 6600,17.3,2560x1440,4.0,2.74,Freedos,2752.28
HP,Intel i7,32,1TBSSD,AMD Radeon RX 6600,15.6,1920x1080,10.3,2.79,Windows,2065.59
Acer,Intel i7,16,256GBSSD,Nvidia RTX 3080,16.0,1366x768,6.6,1.68,Macos,1360.56
Samsung,AMD Ryzen 7,8,1TBSSD,Nvidia RTX 3080,15.6,1920x1080,5.6,1.37,Macos,1528.88
Acer,Intel i3,8,256GBSSD,AMD Radeon RX 6800,13.3,2560x1440,10.9,1.67,Macos,1056.97
HP,AMD Ryzen 3,32,1TBSSD,Nvidia RTX 3060,16.0,3840x2160,5.4,2.84,Windows,2546.14
HP,AMD Ryzen 7,4,2TBSSD,Nvidia GTX 1650,17.3,3840x2160,7.6,1.23,Macos,1908.71
Asus,Intel i7,32,512GBSSD,Nvidia GTX 1650,16.0,3840x2160,4.4,2.21,Linux,3570.85
Razer,Intel i7,32,2TBSSD,AMD Radeon RX 6600,14.0,2560x1440,10.7,3.34,Macos,3467.66
Dell,Intel i5,8,2TBSSD,AMD Radeon RX 6600,17.3,1920x1080,4.7,2.1,Freedos,1035.89
MSI,AMD Ryzen 9,8,1TBSSD,Nvidia RTX 2060,17.3,3840x2160,8.1,1.54,Macos,3909.72
MSI,Intel i5,32,512GBSSD,Nvidia RTX 2060,13.3,3840x2160,5.9,3.11,Windows,3334.6
MSI,Intel i9,32,1TBSSD,AMD Radeon RX 6600,13.3,1920x1080,5.2,1.86,Freedos,3381.26
Dell,AMD Ryzen 9,16,1TBHDD,Nvidia RTX 2060,14.0,1366x768,5.8,2.57,Macos,1364.6
Microsoft,AMD Ryzen 3,16,256GBSSD,AMD Radeon RX 6600,17.3,1366x768,11.5,2.32,Freedos,814.65
Microsoft,Intel i3,8,512GBSSD,Nvidia RTX 3060,15.6,1366x768,10.4,2.85,Linux,692.68
Acer,AMD Ryzen 7,32,1TBSSD,Nvidia RTX 3060,17.3,3840x2160,11.2,1.25,Freedos,3738.32
Microsoft,AMD Ryzen 5,64,512GBSSD,Integrated,14.0,1920x1080,6.0,1.32,Macos,1513.68
Samsung,Intel i7,16,1TBSSD,Nvidia GTX 1650,14.0,1366x768,5.7,3.03,Windows,1215.71
Acer,Intel i3,4,512GBSSD,Nvidia RTX 3080,16.0,2560x1440,4.9,1.37,Windows,974.46
Apple,Intel i7,4,1TBHDD,AMD Radeon RX 6600,14.0,3840x2160,8.8,1.62,Freedos,2315.08
Samsung,Intel i9,16,1TBHDD,AMD Radeon RX 6800,13.3,1366x768,4.9,2.05,Freedos,1384.37
HP,AMD Ryzen 9,16,1TBSSD,Nvidia RTX 3080,13.3,3840x2160,9.6,1.59,Macos,3290.19
Razer,Intel i5,4,512GBSSD,Integrated,17.3,1366x768,6.7,2.75,Linux,671.04
MSI,AMD Ryzen 7,4,256GBSSD,Nvidia RTX 3080,14.0,1920x1080,11.9,2.94,Windows,1386.09
Apple,AMD Ryzen 3,16,1TBSSD,Nvidia GTX 1650,14.0,1920x1080,11.7,3.06,Macos,1604.71
Microsoft,Intel i5,4,1TBHDD,Nvidia RTX 3060,15.6,3840x2160,7.5,2.91,Freedos,1394.17
Acer,AMD Ryzen 7,4,1TBSSD,Integrated,17.3,1920x1080,5.4,2.89,Linux,706.99
Acer,Intel i7,4,1TBSSD,AMD Radeon RX 6800,15.6,1920x1080,8.7,1.66,Windows,1397.92
MSI,AMD Ryzen 9,32,2TBSSD,AMD Radeon RX 6800,15.6,2560x1440,10.1,3.02,Windows,4749.67
Microsoft,Intel i3,4,512GBSSD,Nvidia RTX 3080,17.3,1366x768,11.7,1.74,Freedos,709.45
MSI,AMD Ryzen 9,32,256GBSSD,AMD Radeon RX 6600,15.6,1366x768,4.7,2.31,Linux,3088.51
Razer,Intel i9,32,256GBSSD,Nvidia RTX 3080,13.3,3840x2160,8.0,1.76,Windows,6221.31
Samsung,AMD Ryzen 3,16,256GBSSD,Nvidia GTX 1650,15.6,1366x768,11.8,2.41,Freedos,999.68
MSI,Intel i5,32,256GBSSD,Nvidia RTX 2060,15.6,1366x768,4.8,1.52,Freedos,1828.76
Razer,Intel i7,32,512GBSSD,AMD Radeon RX 6600,14.0,3840x2160,7.0,1.81,Macos,4677.3
HP,AMD Ryzen 7,32,512GBSSD,AMD Radeon RX 6800,16.0,1366x768,6.6,1.26,Linux,1867.25
Acer,AMD Ryzen 7,16,256GBSSD,Nvidia RTX 3080,17.3,1920x1080,4.1,1.41,Linux,1687.56
MSI,AMD Ryzen 5,16,2TBSSD,Nvidia RTX 3080,15.6,1366x768,7.5,2.63,Macos,1576.39
Microsoft,Intel i3,4,1TBHDD,Nvidia RTX 3080,14.0,3840x2160,7.9,1.23,Freedos,1198.14
Dell,Intel i5,64,256GBSSD,AMD Radeon RX 6800,14.0,2560x1440,7.9,2.72,Macos,2835.44
Razer,AMD Ryzen 7,16,2TBSSD,AMD Radeon RX 6600,14.0,3840x2160,7.6,2.7,Macos,3592.84
MSI,AMD Ryzen 9,32,256GBSSD,Nvidia RTX 3060,15.6,1920x1080,10.9,1.88,Macos,3662.56
Asus,AMD Ryzen 5,4,2TBSSD,Nvidia RTX 2060,17.3,1920x1080,8.6,1.75,Freedos,926.94
HP,Intel i7,32,256GBSSD,AMD Radeon RX 6600,15.6,1920x1080,8.1,3.21,Macos,2279.41
Acer,Intel i9,4,2TBSSD,AMD Radeon RX 6800,14.0,3840x2160,9.9,1.26,Macos,2592.55
Samsung,Intel i9,16,512GBSSD,Nvidia RTX 3060,17.3,1366x768,10.5,1.97,Freedos,1769.66
Asus,AMD Ryzen 3,64,1TBSSD,Nvidia RTX 3080,13.3,1366x768,8.3,2.65,Macos,1606.21
Apple,Intel i5,4,1TBSSD,Nvidia RTX 3060,17.3,3840x2160,11.0,2.59,Linux,2426.84
Asus,AMD Ryzen 7,32,256GBSSD,Integrated,13.3,2560x1440,10.4,2.96,Macos,1603.01
Razer,AMD Ryzen 5,4,512GBSSD,AMD Radeon RX 6800,17.3,1920x1080,11.6,2.71,Windows,1479.95
Razer,Intel i9,16,1TBHDD,Nvidia RTX 3080,16.0,1920x1080,8.7,2.98,Freedos,2671.89
Samsung,Intel i7,4,256GBSSD,Integrated,15.6,3840x2160,6.8,1.82,Macos,1312.52
Asus,Intel i3,8,1TBSSD,Nvidia RTX 2060,16.0,1366x768,4.2,2.95,Windows,850.49
Samsung,AMD Ryzen 9,4,256GBSSD,AMD Radeon RX 6800,15.6,1366x768,11.1,2.9,Linux,1438.43
Lenovo,Intel i3,16,2TBSSD,AMD Radeon RX 6800,16.0,3840x2160,8.4,3.04,Windows,1693.75
Apple,Intel i5,32,256GBSSD,AMD Radeon RX 6800,13.3,3840x2160,7.4,2.34,Windows,4052.39
Lenovo,Intel i7,8,512GBSSD,Nvidia RTX 3080,16.0,1920x1080,5.3,2.48,Linux,1262.04
MSI,AMD Ryzen 7,4,2TBSSD,Nvidia RTX 3080,15.6,3840x2160,5.5,3.06,Freedos,2795.35
MSI,AMD Ryzen 5,8,512GBSSD,Nvidia RTX 3080,15.6,1366x768,11.8,2.36,Macos,1279.29
HP,AMD Ryzen 5,4,1TBSSD,Nvidia RTX 3080,13.3,2560x1440,4.9,2.92,Freedos,1003.85
HP,AMD Ryzen 5,64,256GBSSD,Nvidia RTX 3060,16.0,1366x768,11.9,2.45,Linux,2268.42
Microsoft,AMD Ryzen 3,64,256GBSSD,Nvidia RTX 3060,13.3,1366x768,8.7,1.36,Windows,1677.68
HP,AMD Ryzen 7,16,256GBSSD,AMD Radeon RX 6600,16.0,1366x768,8.2,1.96,Freedos,1455.5
Razer,AMD Ryzen 7,32,1TBSSD,Nvidia RTX 2060,16.0,1366x768,7.5,1.55,Windows,2645.06
MSI,AMD Ryzen 3,32,2TBSSD,Nvidia RTX 3060,14.0,3840x2160,6.5,1.37,Freedos,2847.32
Lenovo,Intel i5,64,1TBHDD,Nvidia RTX 3060,17.3,1920x1080,7.8,3.15,Macos,2140.1
Samsung,AMD Ryzen 5,32,256GBSSD,AMD Radeon RX 6600,15.6,1366x768,12.0,1.56,Freedos,1362.87
Microsoft,AMD Ryzen 7,32,256GBSSD,AMD Radeon RX 6600,14.0,2560x1440,9.2,1.41,Linux,2508.63
Samsung,Intel i7,32,1TBSSD,AMD Radeon RX 6600,16.0,2560x1440,11.5,2.39,Freedos,2763.07
Lenovo,AMD Ryzen 3,32,2TBSSD,AMD Radeon RX 6600,16.0,1920x1080,5.5,2.37,Linux,1574.5
Lenovo,AMD Ryzen 7,64,1TBSSD,Nvidia GTX 1650,14.0,2560x1440,9.4,1.72,Freedos,3844.4
Acer,AMD Ryzen 9,4,1TBHDD,Nvidia GTX 1650,14.0,1366x768,9.0,3.2,Macos,972.89
HP,AMD Ryzen 7,16,512GBSSD,Nvidia RTX 3060,15.6,1366x768,6.4,1.56,Windows,1341.23
Apple,Intel i5,4,2TBSSD,AMD Radeon RX 6800,16.0,1920x1080,11.0,2.98,Freedos,1411.61
Microsoft,Intel i7,64,256GBSSD,Nvidia RTX 3080,15.6,1920x1080,8.6,3.37,Macos,3295.99
Apple,AMD Ryzen 9,64,2TBSSD,Nvidia RTX 3060,13.3,1366x768,11.4,1.26,Freedos,4865.86
Asus,AMD Ryzen 3,32,2TBSSD,AMD Radeon RX 6800,13.3,2560x1440,5.7,2.08,Linux,1555.34
MSI,Intel i9,64,1TBSSD,AMD Radeon RX 6800,14.0,1366x768,11.8,1.97,Linux,4259.1
Microsoft,AMD Ryzen 3,64,2TBSSD,Nvidia RTX 3080,13.3,3840x2160,6.2,2.07,Windows,3260.75
Razer,Intel i9,8,256GBSSD,Nvidia RTX 3080,15.6,1366x768,5.5,2.87,Macos,2190.59
Samsung,AMD Ryzen 7,16,2TBSSD,Nvidia RTX 3080,15.6,2560x1440,11.8,3.41,Freedos,2024.36
MSI,Intel i3,8,512GBSSD,Nvidia GTX 1650,15.6,3840x2160,5.5,1.56,Freedos,1885.91
Lenovo,Intel i5,16,256GBSSD,Nvidia RTX 2060,13.3,2560x1440,9.6,3.46,Windows,1386.33
Apple,AMD Ryzen 5,32,1TBSSD,Nvidia RTX 3060,17.3,1920x1080,11.6,1.79,Windows,2595.76
Samsung,AMD Ryzen 7,4,256GBSSD,AMD Radeon RX 6800,16.0,1920x1080,4.4,2.36,Macos,1339.77
Dell,Intel i9,64,512GBSSD,AMD Radeon RX 6800,17.3,2560x1440,5.6,2.46,Windows,5385.16
Apple,Intel i3,32,2TBSSD,Nvidia RTX 2060,17.3,2560x1440,7.3,2.04,Macos,2748.51
Lenovo,AMD Ryzen 7,4,2TBSSD,AMD Radeon RX 6800,16.0,1920x1080,11.2,2.42,Macos,1331.95
Razer,Intel i7,4,2TBSSD,Nvidia RTX 2060,16.0,2560x1440,11.6,1.99,Windows,2128.82
Razer,Intel i9,8,1TBSSD,Integrated,13.3,3840x2160,6.4,2.39,Macos,2425.56
Microsoft,AMD Ryzen 5,8,1TBHDD,Nvidia RTX 3060,17.3,3840x2160,11.9,3.45,Freedos,1390.49
Apple,AMD Ryzen 5,16,1TBHDD,Nvidia RTX 2060,17.3,2560x1440,4.2,1.47,Freedos,2151.49
Acer,Intel i7,32,1TBSSD,Nvidia RTX 2060,14.0,3840x2160,9.0,2.1,Freedos,3394.6
Microsoft,AMD Ryzen 5,8,1TBHDD,AMD Radeon RX 6800,16.0,3840x2160,7.6,2.61,Macos,1638.84
HP,Intel i7,16,1TBHDD,Nvidia GTX 1650,17.3,3840x2160,5.3,2.71,Linux,2181.27
HP,Intel i3,64,256GBSSD,Nvidia GTX 1650,15.6,2560x1440,9.5,3.36,Windows,2740.01
Apple,AMD Ryzen 9,4,1TBHDD,AMD Radeon RX 6800,16.0,3840x2160,10.1,3.03,Linux,3446.64
HP,AMD Ryzen 3,4,1TBHDD,Nvidia RTX 2060,15.6,1366x768,9.4,2.99,Windows,648.17
HP,Intel i3,32,512GBSSD,Nvidia RTX 3080,15.6,1366x768,8.3,3.25,Linux,1384.26
Apple,Intel i7,16,2TBSSD,AMD Radeon RX 6800,14.0,2560x1440,6.2,1.26,Windows,2866.71
Lenovo,AMD Ryzen 7,16,1TBSSD,AMD Radeon RX 6600,13.3,1366x768,11.0,2.34,Macos,1292.8
Razer,AMD Ryzen 5,32,2TBSSD,AMD Radeon RX 6800,13.3,2560x1440,11.4,2.33,Macos,2701.57
Samsung,Intel i5,4,1TBHDD,Nvidia RTX 3080,15.6,1366x768,9.9,2.78,Macos,616.04
Dell,Intel i9,8,512GBSSD,Nvidia RTX 3060,15.6,1920x1080,6.6,1.94,Windows,1975.16
Lenovo,AMD Ryzen 3,8,2TBSSD,AMD Radeon RX 6800,17.3,2560x1440,7.4,2.91,Macos,1108.99
Asus,Intel i3,16,256GBSSD,AMD Radeon RX 6600,13.3,1920x1080,10.7,1.3,Windows,1038.39
Lenovo,Intel i5,32,1TBSSD,Nvidia RTX 2060,15.6,1920x1080,10.2,2.35,Windows,1701.98
HP,AMD Ryzen 5,32,1TBHDD,Nvidia GTX 1650,15.6,3840x2160,11.9,2.74,Macos,2480.15
Acer,AMD Ryzen 9,8,2TBSSD,Nvidia RTX 3080,15.6,1920x1080,11.3,1.89,Linux,1696.97
Lenovo,AMD Ryzen 7,32,256GBSSD,AMD Radeon RX 6600,14.0,1920x1080,6.3,2.57,Linux,1987.34
HP,AMD Ryzen 9,16,1TBHDD,Nvidia RTX 3060,13.3,1920x1080,11.0,3.22,Freedos,1725.79
Razer,Intel i7,32,1TBHDD,Nvidia RTX 3080,16.0,1920x1080,11.3,2.28,Macos,2502.89
HP,Intel i3,4,2TBSSD,Nvidia RTX 3080,16.0,3840x2160,4.1,1.75,Macos,1410.3
Dell,AMD Ryzen 9,4,2TBSSD,Nvidia GTX 1650,13.3,2560x1440,10.8,2.92,Windows,1794.06
Lenovo,AMD Ryzen 5,16,512GBSSD,AMD Radeon RX 6600,14.0,1366x768,6.3,1.21,Windows,1167.51
Microsoft,Intel i9,32,1TBSSD,AMD Radeon RX 6800,13.3,3840x2160,5.9,3.41,Linux,4306.07
MSI,AMD Ryzen 7,64,256GBSSD,AMD Radeon RX 6600,13.3,2560x1440,9.4,2.58,Macos,4741.09
Razer,AMD Ryzen 9,4,1TBSSD,Nvidia GTX 1650,13.3,2560x1440,9.2,1.93,Windows,2657.82
MSI,AMD Ryzen 9,16,2TBSSD,AMD Radeon RX 6800,14.0,2560x1440,6.7,2.22,Linux,3072.25
Microsoft,AMD Ryzen 3,16,256GBSSD,Nvidia RTX 2060,17.3,2560x1440,7.5,1.9,Freedos,1270.08
Razer,Intel i5,8,256GBSSD,AMD Radeon RX 6800,14.0,2560x1440,10.9,1.76,Freedos,1871.16
Lenovo,AMD Ryzen 7,64,1TBSSD,Integrated,14.0,2560x1440,5.7,3.26,Freedos,2355.81
HP,AMD Ryzen 9,8,1TBHDD,AMD Radeon RX 6800,16.0,1366x768,7.2,2.72,Macos,1214.8
Apple,Intel i9,64,1TBHDD,Nvidia RTX 2060,14.0,2560x1440,7.1,2.96,Macos,6170.2
Dell,Intel i9,32,1TBSSD,Nvidia RTX 3060,14.0,1366x768,6.1,2.81,Linux,2249.44
Asus,AMD Ryzen 7,64,256GBSSD,AMD Radeon RX 6600,13.3,1920x1080,7.2,2.65,Freedos,2819.3
